state,name,party,votes,percentage
alabama,Donald J. Trump,GOP,"1,457,913",64.80%
alabama,Kamala Harris,DEM,"769,482",34.20%
alabama,Robert F. Kennedy Jr.,IND,"12,028",0.50%
alabama,Chase Oliver,LIB,"4,915",0.20%
alabama,Jill Stein,GRE,"4,298",0.20%
alaska,Donald J. Trump,GOP,"184,204",54.50%
alaska,Kamala Harris,DEM,"139,812",41.40%
alaska,Robert F. Kennedy Jr.,IND,"5,663",1.70%
alaska,Chase Oliver,LIB,"3,044",0.90%
alaska,Jill Stein,GRE,"2,340",0.70%
arizona,Donald J. Trump,GOP,"1,770,242",52.20%
arizona,Kamala Harris,DEM,"1,582,860",46.70%
arizona,Jill Stein,GRE,"18,319",0.50%
arizona,Chase Oliver,LIB,"17,898",0.50%
arkansas,Donald J. Trump,GOP,"759,253",64.20%
arkansas,Kamala Harris,DEM,"396,905",33.60%
arkansas,Robert F. Kennedy Jr.,IND,"13,255",1.10%
arkansas,Chase Oliver,LIB,"5,716",0.50%
arkansas,Jill Stein,GRE,"4,275",0.40%
california,Kamala Harris,DEM,"9,184,242",58.60%
california,Donald J. Trump,GOP,"5,989,358",38.20%
california,Robert F. Kennedy Jr.,IND,"195,286",1.30%
california,Jill Stein,GRE,"165,656",1.10%
california,Claudia De la Cruz,IND,"71,515",0.50%
colorado,Kamala Harris,DEM,"1,727,610",54.20%
colorado,Donald J. Trump,GOP,"1,377,080",43.20%
colorado,Robert F. Kennedy Jr.,IND,"35,612",1.10%
colorado,Chase Oliver,LIB,"21,432",0.70%
colorado,Jill Stein,GRE,"17,334",0.50%
connecticut,Kamala Harris,DEM,"994,549",56.40%
connecticut,Donald J. Trump,GOP,"739,638",41.90%
connecticut,Jill Stein,GRE,"14,322",0.80%
connecticut,Robert F. Kennedy Jr.,IND,"8,460",0.50%
connecticut,Chase Oliver,LIB,"6,743",0.40%
delaware,Kamala Harris,DEM,"289,758",56.60%
delaware,Donald J. Trump,GOP,"214,351",41.90%
delaware,Robert F. Kennedy Jr.,IND,"4,636",0.90%
delaware,Chase Oliver,LIB,"2,038",0.40%
delaware,Vermin Supreme,OTH,914,0.20%
district-of-columbia,Kamala Harris,DEM,"294,185",92.50%
